nom,prix,categorie,marque,description,lien
Huile de palme rouge 1L,4500 FCFA,Alimentation et Boissons,Mama Africa,Huile de palme rouge naturelle pour cuisine africaine bantou et sauces,https://effi-market.com/produit/huile-de-palme-rouge-1l
Bâton de manioc (chikwangue) x5,3000 FCFA,Alimentation et Boissons,Terroir 237,Bâtons de manioc fermenté prêts à consommer accompagnement,https://effi-market.com/produit/baton-de-manioc-x5
Farine de fonio 1kg,3500 FCFA,Alimentation et Boissons,Sahel Bio,Fonio céréale sans gluten riche en fibres cuisine ouest-africaine,https://effi-market.com/produit/farine-de-fonio-1kg
Beurre de karité brut 250g,3200 FCFA,Beauté & Bien-être,Karité Pur,Beurre de karité non raffiné hydratant peau et cheveux,https://effi-market.com/produit/beurre-de-karite-brut-250g
Savon noir africain 200g,1800 FCFA,Beauté & Bien-être,Ghana Soap,Savon noir traditionnel nettoyant visage et corps peau sensible,https://effi-market.com/produit/savon-noir-africain-200g
Huile de coco vierge 500ml,4000 FCFA,Beauté & Bien-être,Tropic Nature,Huile de coco vierge pressée à froid soin cheveux et peau,https://effi-market.com/produit/huile-de-coco-vierge-500ml
Robe wax pagne africain,25000 FCFA,Mode & Style africain,Atelier Ndeye,Robe en wax coloré tissu pagne fait main taille S à XL,https://effi-market.com/produit/robe-wax-pagne-africain
Boubou homme brodé,35000 FCFA,Mode & Style africain,Sagesse Couture,Grand boubou traditionnel brodé pour homme cérémonie et mariage,https://effi-market.com/produit/boubou-homme-brode
Sac en cuir touareg,18000 FCFA,Mode & Style africain,Artisan Sahel,Sac à main en cuir véritable artisanat touareg fait main,https://effi-market.com/produit/sac-en-cuir-touareg
Djembe artisanal 40cm,45000 FCFA,Art & Culture,Rythmes du Mali,Tambour djembé sculpté à la main peau de chèvre son authentique,https://effi-market.com/produit/djembe-artisanal-40cm
Statuette baoulé bois,22000 FCFA,Art & Culture,Galerie Abidjan,Statuette en bois sculpté art baoulé décoration authentique,https://effi-market.com/produit/statuette-baoule-bois
Bissap séché hibiscus 200g,2500 FCFA,Alimentation et Boissons,Jardin Dakar,Fleurs d'hibiscus séchées pour infusion bissap boisson rafraîchissante,https://effi-market.com/produit/bissap-seche-hibiscus-200g
Café robusta grains 1kg,6000 FCFA,Alimentation et Boissons,Plantation Kivu,Café robusta en grains torréfaction artisanale arôme intense,https://effi-market.com/produit/cafe-robusta-grains-1kg
Masque à raser huile barbe,5500 FCFA,Beauté & Bien-être,Barbe Noire,Huile à barbe nourrissante karité et ricin pour homme,https://effi-market.com/produit/huile-barbe-homme
Collier perles massaï,12000 FCFA,Mode & Style africain,Perles Kenya,Collier traditionnel en perles massaï coloré fait main,https://effi-market.com/produit/collier-perles-massai
